POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON.1,PBABIP,HRR,STU vL,MOV vL,CON vL.1,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR.1,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP.1,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA.1,WAR.1,rWAR,SIERA,Predicted_XGB
RP,47,Matt Brash,,Texas,MLB,MLB,05/12/1998,27,CAN,6' 1',165 lbs,Right,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,1,Normal,Normal,Normal,77,59,37,50,62,61,51,36,45,56,91,64,38,53,70,97.0,37.0,,97.0,,,,,,,66.0,,4,NEU,98.0,97-99,3/4,Power,23.0,37.0,1,1,2,42,13,59,9,38,14,23,7,15,7,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,1,30.1,12,3.56,3.32,0.2,0.3,0.2,2.67,
RP,58,Luis Castillo,,Seattle,MLB,MLB,12/12/1992,32,DOM,6' 2',200 lbs,Right,Right,3.0 Stars,3.0 Stars,9,15,1,1,15,1,15,10,1,1,16,1,15,9,1,1,15,1,32,4,Normal,Normal,Normal,54,47,65,61,44,48,43,61,57,40,61,49,68,65,46,72.0,45.0,,62.0,56.0,,,,,,,,4,EX FB,96.0,95-97,3/4,Power,68.0,52.0,1,1,1,16,18,59,11,8,18,26,11,11,3,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,177.0,78,3.97,3.06,0.1,4.1,1.9,2.6,
RP,75,Camilo Doval,,San Francisco,MLB,MLB,07/04/1997,28,DOM,6' 2',185 lbs,Right,Right,3.0 Stars,3.0 Stars,1,1,1,1,9,1,1,1,1,1,10,1,1,1,1,1,8,1,46,38,Flyball,Normal,Normal,70,64,36,55,69,48,49,33,46,50,98,77,37,61,84,100.0,,,100.0,63.0,,,,,,,,3,EX GB,100.0,99-101,SIDE,Power,16.0,61.0,3,3,1,25,53,56,33,3,3,3,21,15,23,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,1,2,64.0,25,3.52,3.26,1.1,0.8,0.4,3.13,
RP,33,A.J. Puk,,Arizona,MLB,MLB,04/25/1995,30,USA,6' 7',245 lbs,Left,Left,3.0 Stars,3.0 Stars,2,1,2,7,1,9,1,1,1,5,1,8,1,2,3,8,1,9,47,11,Normal,Normal,Normal,70,52,47,55,51,90,63,49,59,66,63,50,46,53,49,93.0,,,87.0,54.0,49.0,52.0,,,,,,5,FB,97.0,96-98,3/4,Power,17.0,53.0,3,3,2,26,50,63,17,10,16,29,19,10,17,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,2,7,61.0,29,4.28,3.54,-0.4,0.5,-0.9,3.02,
RP,46,Jose Alvarado,,Philadelphia,MLB,MLB,05/21/1995,30,VEN,6' 2',240 lbs,Left,Left,3.0 Stars,3.0 Stars,13,11,1,1,18,16,10,11,1,1,17,14,11,13,1,1,19,17,46,12,Normal,Normal,Normal,59,66,39,55,72,73,79,41,58,87,55,62,39,54,67,,,,,84.0,,88.0,,,,,,2,NEU,99.0,98-100,3/4,Normal,14.0,44.0,1,1,2,14,14,38,10,14,18,31,12,8,5,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,4,4,56.1,18,2.88,3.15,-0.1,1.0,-0.1,3.6,
RP,66,Grant Holmes,,Atlanta,MLB,MLB,03/22/1996,29,USA,6' 0',225 lbs,Left,Right,3.0 Stars,3.0 Stars,2,9,1,1,1,1,8,1,1,1,1,1,9,2,1,1,1,1,68,44,Normal,Normal,Normal,58,57,48,50,59,51,50,46,46,52,64,60,49,52,63,74.0,46.0,,69.0,,,,,,,,,3,GB,95.0,94-96,3/4,GB'er,34.0,49.0,2,2,1,32,16,52,7,24,21,21,18,17,16,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,155.1,82,4.75,3.98,-1.4,1.8,0.2,3.62,
RP,52,Dylan Lee,,Atlanta,MLB,MLB,08/01/1994,31,USA,6' 3',205 lbs,Left,Left,3.0 Stars,3.0 Stars,9,16,1,1,1,1,15,9,1,1,1,1,16,10,1,1,1,1,36,6,Normal,Normal,Normal,62,49,63,52,48,76,52,70,55,51,60,48,61,51,47,54.0,46.0,,86.0,,,,,,,,,3,FB,94.0,93-95,OTT,Normal,15.0,81.0,1,1,1,23,43,33,23,3,3,3,17,16,13,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,2,6,101.0,28,2.5,3.15,1.7,1.4,2.5,2.35,
RP,43,Jonathan Loáisiga,,New York,MLB,MLB,11/02/1994,30,NCA,5' 11',165 lbs,Right,Right,3.0 Stars,3.0 Stars,12,21,6,1,15,1,21,13,7,1,16,1,20,12,6,1,15,1,38,31,Normal,Normal,Normal,38,74,61,59,80,34,62,57,55,65,41,86,66,63,94,,33.0,,44.0,51.0,,,,,,,,3,GB,99.0,98-100,3/4,GB'er,16.0,51.0,2,2,2,18,22,46,12,11,23,33,21,16,22,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,2,2,40.2,9,1.99,2.73,0.0,0.8,0.8,3.26,
RP,55,Chris Martin,,Texas,MLB,MLB,06/02/1986,39,USA,6' 8',225 lbs,Right,Right,3.0 Stars,3.0 Stars,36,1,28,1,1,70,1,37,29,1,1,74,1,36,28,1,1,69,54,1,Normal,Pull,Pull,44,57,96,47,62,43,55,95,46,60,45,59,98,49,63,46.0,,,,37.0,37.0,46.0,,,,,,4,NEU,95.0,94-96,3/4,Normal,14.0,61.0,-,-,-,16,43,27,17,-,-,-,10,14,4,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,20,4,65.0,26,3.6,3.66,2.0,0.7,0.3,3.31,
RP,85,Dustin May,,Los Angeles,MLB,MLB,09/06/1997,28,USA,6' 6',185 lbs,Right,Right,3.0 Stars,3.0 Stars,5,1,1,1,1,10,1,6,1,1,1,10,1,5,1,1,1,10,19,2,Normal,Normal,Normal,52,54,49,76,50,47,50,47,69,47,58,59,50,81,54,69.0,35.0,,54.0,56.0,,47.0,,,,,,5,GB,99.0,98-100,3/4,Power,53.0,56.0,-,-,-,33,44,42,33,-,-,-,18,22,16,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,5,3,77.2,25,2.9,3.25,0.6,1.3,1.8,3.0,
RP,29,Trevor Megill,,Milwaukee,MLB,MLB,12/05/1993,31,USA,6' 8',235 lbs,Left,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,78,6,Normal,Normal,Normal,63,47,50,46,47,65,48,51,47,48,62,46,50,45,47,100.0,,86.0,,,,,,,,,,2,EX FB,100.0,99-101,OTT,Power,17.0,39.0,5,5,1,26,17,53,19,10,27,53,14,14,16,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,45,7,61.2,23,3.36,2.39,0.5,2.3,0.8,2.36,
RP,63,Fernando Cruz,,New York,MLB,MLB,03/28/1990,35,PUR,6' 2',235 lbs,Right,Right,3.0 Stars,3.0 Stars,11,8,1,1,1,15,9,12,2,1,1,16,7,11,1,1,1,14,43,40,Normal,Pull,Pull,84,51,36,46,55,76,49,35,44,50,92,55,36,47,59,87.0,,,77.0,,100.0,,,,,,,3,EX FB,96.0,95-97,OTT,Power,10.0,60.0,-,-,-,20,50,38,32,-,-,-,31,50,22,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,11,6,63.0,17,2.43,3.8,0.9,0.5,1.5,3.21,
RP,49,Blake Treinen,,Los Angeles,MLB,MLB,06/30/1988,37,USA,6' 5',225 lbs,Right,Right,3.0 Stars,3.0 Stars,16,24,15,1,1,10,25,17,15,1,2,11,24,16,14,1,1,9,39,35,Normal,Normal,Normal,50,61,51,69,60,45,56,50,62,53,56,69,52,76,67,50.0,,,49.0,60.0,,52.0,,,,,,4,NEU,94.0,93-95,3/4,Normal,17.0,58.0,-,-,-,26,14,40,22,20,25,35,18,11,20,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,3,5,69.2,18,2.33,3.04,2.3,1.3,1.8,2.88,
RP,30,Luke Weaver,,New York,MLB,MLB,08/21/1993,32,USA,6' 2',185 lbs,Right,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,68,18,Normal,Normal,Normal,61,51,56,57,50,62,51,56,57,50,60,50,55,56,50,85.0,65.0,48.0,,,,61.0,,,,,,4,NEU,96.0,95-97,3/4,Power,23.0,77.0,4,4,4,28,50,58,38,5,31,60,17,16,16,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,4,3,74.0,23,2.8,2.76,0.6,1.4,1.5,2.96,
RP,33,Pete Fairbanks,,Cleveland,MLB,MLB,12/16/1993,31,USA,6' 6',225 lbs,Right,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,55,9,Normal,Normal,Normal,54,59,45,57,59,48,51,43,53,50,60,67,47,60,70,83.0,35.0,,84.0,,,,,,,,,3,FB,97.0,96-98,3/4,Power,13.0,45.0,35,35,36,35,11,26,17,25,50,21,16,8,16,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,18,3,63.0,33,4.71,4.06,-0.7,-0.1,-1.6,3.71,
RP,37,Porter Hodge,,Chicago,MLB,MLB,02/21/2001,24,USA,6' 4',230 lbs,Right,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,2,Normal,Normal,Normal,74,58,36,61,57,62,53,36,58,52,83,61,37,63,61,,,,92.0,,48.0,96.0,,,,,,3,FB,97.0,96-98,3/4,Normal,29.0,41.0,1,1,5,16,9,67,20,21,14,22,12,13,2,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,6,0,88.2,23,2.33,2.16,2.6,2.8,2.6,2.67,
RP,25,Matt Strahm,,Philadelphia,MLB,MLB,11/12/1991,33,USA,6' 3',185 lbs,Right,Left,3.0 Stars,3.0 Stars,11,2,1,1,10,15,3,11,1,1,11,16,1,10,1,1,10,15,45,7,Normal,Normal,Normal,60,49,63,72,45,78,55,71,81,50,56,47,61,69,44,83.0,,,62.0,,,50.0,,,,,,3,EX FB,95.0,94-96,3/4,Normal,18.0,50.0,-,-,-,30,27,39,17,-,-,-,19,13,16,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,3,89.2,41,4.12,3.36,1.0,1.2,0.2,2.81,
RP,52,Bryan Abreu,,Houston,MLB,MLB,04/22/1997,28,DOM,6' 1',230 lbs,Right,Right,3.0 Stars,3.0 Stars,13,17,9,1,10,11,17,14,10,1,10,12,17,13,9,1,10,11,47,18,Normal,Normal,Normal,76,50,41,60,48,58,45,39,55,43,93,55,42,65,52,93.0,,,100.0,,,,,,,,,2,FB,98.0,97-99,3/4,Power,16.0,58.0,3,3,3,27,29,36,13,8,13,20,19,14,17,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,27,3,65.2,22,3.02,3.33,3.4,1.1,1.1,3.05,
RP,71,Ian Hamilton,,New York,MLB,MLB,06/16/1995,30,USA,6' 1',200 lbs,Right,Right,3.0 Stars,3.0 Stars,13,1,12,1,10,25,1,13,12,1,10,25,1,13,12,1,10,24,52,19,Normal,Spray,Spray,59,59,41,57,60,48,50,39,51,50,73,70,43,61,74,81.0,,,88.0,59.0,,,,,,,,3,NEU,97.0,96-98,3/4,Power,19.0,61.0,1,1,1,24,58,27,31,3,3,3,13,13,7,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,1,5,47.2,22,4.15,2.9,0.0,1.0,0.2,3.19,
RP,19,Will Vest,,Detroit,MLB,MLB,06/06/1995,30,USA,6' 0',180 lbs,Right,Right,3.0 Stars,3.0 Stars,6,1,3,1,1,11,1,8,3,1,1,12,1,5,2,1,1,11,87,14,Normal,Spray,Spray,46,62,53,56,65,42,55,51,52,57,49,69,55,58,73,57.0,40.0,,46.0,43.0,,,,,,,,4,NEU,95.0,94-96,3/4,Normal,12.0,48.0,-,-,2,18,4,91,11,9,15,31,16,15,16,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,1,3,63.1,22,3.13,2.76,2.6,1.4,1.0,3.6,3.844809
RP,4,Lucas Erceg,,Houston,MLB,MLB,05/01/1995,30,USA,6' 2',215 lbs,Left,Right,3.0 Stars,3.0 Stars,23,28,42,33,28,20,27,22,41,31,26,18,28,24,43,34,28,20,47,30,Normal,Pull,Pull,53,62,42,54,67,48,56,41,51,58,60,72,43,56,79,87.0,46.0,,56.0,53.0,,,,,,,,4,NEU,98.0,97-99,3/4,Power,12.0,39.0,1,1,1,26,55,88,23,47,49,77,46,47,46,48,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,3,4,54.0,26,4.33,3.43,-0.1,0.6,-0.3,3.42,3.8592741
RP,49,Kevin Kelly,,Tampa Bay,MLB,MLB,11/28/1997,27,USA,6' 2',200 lbs,Right,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,73,8,Normal,Normal,Normal,43,67,74,72,66,35,51,63,59,49,50,81,83,84,81,,,,44.0,52.0,,39.0,,,,,,3,GB,92.0,91-93,SIDE,GB'er,11.0,38.0,4,4,3,35,25,60,14,23,16,37,16,13,17,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,2,47.1,16,3.04,3.05,0.4,0.6,0.6,3.01,
RP,55,Ryan Pressly,,Chicago,MLB,MLB,12/15/1988,36,USA,6' 3',205 lbs,Right,Right,3.0 Stars,3.0 Stars,13,22,1,1,1,3,22,14,1,1,1,5,21,13,1,1,1,3,53,38,Normal,Spray,Spray,48,51,54,49,52,46,49,53,47,50,51,53,55,51,55,56.0,29.0,56.0,61.0,,,,,,,,,4,EX GB,95.0,94-96,3/4,GB'er,9.0,50.0,-,-,-,22,19,46,12,-,-,-,19,19,17,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,30,4,60.1,12,1.79,2.7,3.9,1.8,2.4,3.47,3.9313853
RP,68,Jordan Romano,,Philadelphia,MLB,MLB,04/21/1993,32,CAN,6' 5',210 lbs,Right,Right,3.0 Stars,3.0 Stars,20,23,15,1,17,18,24,20,15,1,18,19,23,19,14,1,17,17,49,40,Normal,Normal,Normal,58,50,50,59,49,48,46,48,54,44,70,57,52,63,55,92.0,,,90.0,,,,,,,,,2,EX FB,98.0,97-99,3/4,Power,14.0,56.0,2,2,1,23,18,52,16,14,17,30,19,16,18,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,2,79.2,44,4.97,3.78,-1.3,0.5,-0.7,2.95,
RP,53,Brandon Woodruff,,Milwaukee,MLB,MLB,02/10/1993,32,USA,6' 4',215 lbs,Left,Right,3.0 Stars,3.0 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,61,14,Normal,Normal,Normal,62,45,50,62,42,62,45,49,62,41,62,45,50,62,42,91.0,61.0,67.0,71.0,,,,,,,,,4,NEU,97.0,96-98,OTT,Power,57.0,47.0,3,3,5,18,19,62,13,33,16,10,20,9,24,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,0,143.2,75,4.7,4.27,-1.2,1.4,0.7,2.97,
RP,65,Nestor Cortes,,Milwaukee,MLB,MLB,12/10/1994,30,CUB,5' 11',205 lbs,Right,Left,2.5 Stars,2.5 Stars,13,18,6,1,18,10,19,14,8,1,20,11,18,13,6,1,18,10,51,39,Normal,Normal,Normal,51,47,60,63,44,56,50,62,67,47,50,46,59,62,43,52.0,45.0,,46.0,,,57.0,,,,,,4,EX FB,93.0,92-94,3/4,Normal,64.0,65.0,3,3,3,21,13,42,20,12,14,19,16,16,7,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0,5,120.1,58,4.34,4.16,-0.2,0.7,0.5,3.18,
RP,4,Dylan Floro,,Seattle,MLB,MLB,12/27/1990,34,USA,6' 2',210 lbs,Left,Right,2.5 Stars,2.5 Stars,10,14,9,1,4,1,13,8,6,1,2,1,14,10,9,1,5,1,57,5,Normal,Normal,Normal,31,70,57,48,83,23,49,51,38,54,37,91,61,54,100,29.0,,,25.0,36.0,,,,,,,,3,NEU,91.0,90-92,SIDE,Normal,12.0,51.0,-,-,-,29,30,45,23,-,-,-,11,17,12,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,1,0,66.0,20,2.73,3.44,1.0,0.5,1.1,4.62,
RP,37,Kevin Ginkel,,Arizona,MLB,MLB,03/24/1994,31,USA,6' 4',235 lbs,Left,Right,2.5 Stars,2.5 Stars,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,44,17,Normal,Normal,Normal,50,54,51,55,54,45,50,50,51,49,56,59,52,58,60,74.0,,,65.0,,,,,,,,,2,FB,96.0,95-97,OTT,Power,9.0,50.0,2,2,1,14,31,52,17,13,21,29,15,14,8,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,5,3,40.0,21,4.72,4.3,0.2,-0.2,-0.4,4.15,
RP,87,Tyler Holton,,Detroit,MLB,MLB,06/13/1996,29,USA,6' 2',210 lbs,Left,Left,2.5 Stars,2.5 Stars,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,40,8,Normal,Spray,Spray,41,60,70,76,57,43,65,74,79,61,41,59,69,75,56,39.0,41.0,21.0,36.0,45.0,,44.0,,,,,,6,NEU,93.0,92-94,OTT,Normal,21.0,57.0,3,3,1,27,31,50,15,34,7,25,20,15,21,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,6,6,67.0,25,3.36,3.07,-0.5,1.1,-0.3,3.91,
