POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
LF,29,David Villanueva,,Houston,MLB,MLB,11/29/2026,28,DOM,6' 2',200 lbs,Right,Right,4.5 Stars,4.5 Stars,69,63,100,51,54,68,74,88,100,62,67,91,61,62,98,48,51,61,25,7,Line Drive,Spray,Normal,1,3,1,10,1,1,3,1,10,1,1,3,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,3/4,Normal,1,1,4,4,4,23,15,22,10,69,61,40,100,75,79,97,622,546,.284,.359,.504,104.2,.362,.862,.307,2.46,98,5.3,28.7,3.5,2.4,5.9,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,30,Alex Pelagio,,Toronto,MLB,MLB,06/24/2027,28,VEN,6' 4',200 lbs,Right,Right,4.0 Stars,4.5 Stars,78,63,62,53,67,84,74,97,72,65,79,100,61,70,60,50,64,75,51,10,Line Drive,Normal,Normal,1,11,1,11,10,1,11,1,11,10,1,11,1,11,10,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,3,5,6,3,20,16,12,6,67,37,56,62,67,76,76,645,560,.268,.355,.432,86.2,.339,.787,.286,1.63,90,4.0,17.9,-0.9,1.6,0.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,38,Ernesto Gamez,,Chicago,MLB,MLB,10/19/2030,24,VEN,6' 1',195 lbs,Right,Right,4.0 Stars,4.5 Stars,73,75,100,57,49,62,87,92,100,75,60,85,72,67,96,53,47,58,75,63,Line Drive,Pull,Pull,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,88-90,88-90,3/4,Normal,1,3,3,4,2,27,32,45,26,65,68,61,72,48,73,40,620,566,.270,.324,.449,87.6,.331,.773,.312,1.11,83,4.1,12.9,7.8,1.3,9.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,17,Ryan Goodman,,Miami,MLB,MLB,11/29/2023,31,USA,6' 2',200 lbs,Right,Left,4.0 Stars,4.0 Stars,68,56,48,75,70,80,70,91,56,100,100,100,52,61,46,60,57,73,25,5,Line Drive,Spray,Spray,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,SIDE,Normal,1,1,3,2,1,38,35,28,4,52,40,57,49,25,41,13,678,586,.285,.373,.505,116.9,.376,.878,.287,3.07,115,4.4,37.3,-0.1,-0.1,-0.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,13,Tony Hernandez,,Miami,MLB,MLB,10/23/2026,28,DOM,5' 11',200 lbs,Right,Right,4.0 Stars,4.0 Stars,51,77,61,90,80,37,95,66,76,100,100,45,71,49,58,83,74,35,6,11,Line Drive,Normal,Normal,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,1,4,4,4,33,21,26,14,58,40,49,50,48,61,72,679,602,.264,.348,.532,113.7,.374,.879,.316,3.06,114,5.3,36.5,-1.8,1.0,-0.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,15,Alex Macias,,San Francisco,MLB,MLB,06/04/2030,25,DOM,6' 0',190 lbs,Switch,Right,4.0 Stars,5.0 Stars,62,66,61,61,60,58,75,80,69,80,79,74,62,59,59,57,57,54,100,60,Line Drive,Pull,Pull,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,87-89,87-89,3/4,Normal,1,9,11,11,11,24,20,22,14,68,35,38,80,66,64,71,672,598,.286,.360,.463,108.2,.350,.823,.328,2.93,100,5.2,27.4,4.0,4.2,8.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,Connor Randell,,Milwaukee,MLB,MLB,02/24/2031,24,CAN,6' 0',185 lbs,Right,Right,4.0 Stars,4.5 Stars,56,49,57,87,46,65,56,68,61,100,60,81,48,53,56,73,43,61,64,63,Line Drive,Normal,Normal,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,89-91,3/4,Normal,1,3,9,9,9,44,42,30,35,67,65,63,73,41,30,29,611,557,.287,.342,.569,106.4,.379,.911,.287,3.16,105,4.7,36.6,-2.7,-2.1,-4.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,12,Jose Ranos,,San Francisco,MLB,MLB,05/24/2028,27,DOM,6' 6',205 lbs,Right,Right,4.0 Stars,5.0 Stars,55,65,54,69,69,46,75,65,59,91,91,53,62,52,52,62,62,44,65,6,Line Drive,Normal,Spray,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,87-89,89-91,3/4,GB'er,1,6,36,60,64,19,2,64,10,28,27,45,8,13,17,45,517,452,.243,.335,.383,60.4,.316,.717,.325,1.00,63,2.4,7.1,-0.8,-0.1,-1.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,Carlos Reyes,,Seattle,MLB,MLB,11/09/2028,26,USA,6' 1',200 lbs,Left,Left,4.0 Stars,4.5 Stars,48,51,55,91,53,46,43,39,46,52,45,36,54,51,58,100,57,50,30,6,Line Drive,Normal,Normal,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,3/4,Normal,1,9,2,6,11,19,13,27,4,65,57,61,46,50,60,75,588,506,.259,.355,.498,92.4,.361,.853,.287,2.14,92,4.5,29.4,-0.7,-1.8,-2.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,4,Jeff Tatum,,Houston,MLB,MLB,10/02/2027,27,USA,6' 1',200 lbs,Left,Right,4.0 Stars,4.0 Stars,62,58,56,47,50,63,45,42,44,32,35,40,65,76,61,52,57,79,51,3,Line Drive,Pull,Normal,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,SIDE,Normal,1,2,72,79,53,20,8,78,7,31,35,55,22,19,23,17,511,461,.236,.299,.364,47.0,.287,.664,.266,-0.64,50,2.1,-7.2,-1.6,-0.7,-2.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,40,Arturo Bautista,,San Diego,MLB,MLB,11/26/2022,32,VEN,6' 2',200 lbs,Left,Left,4.0 Stars,4.0 Stars,66,62,49,70,49,66,45,42,39,40,33,39,72,84,53,89,57,84,43,7,Line Drive,Ex. Pull,Spray,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,SIDE,Normal,1,2,7,6,11,25,13,46,7,55,33,55,27,6,3,4,612,553,.300,.358,.541,108.7,.378,.899,.301,2.48,105,4.3,37.9,0.0,-4.2,-4.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,11,Pedro Flores,,Arizona,MLB,MLB,08/15/2032,23,DOM,6' 2',200 lbs,Right,Right,4.0 Stars,4.0 Stars,57,53,60,79,56,61,60,80,73,100,65,93,51,51,57,66,53,54,93,69,Normal,Normal,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,90-92,3/4,Normal,1,1,12,5,12,60,36,60,60,44,22,42,73,41,45,31,627,552,.275,.356,.534,102.7,.377,.890,.289,2.59,106,5.2,37.0,-3.7,-0.9,-4.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,50,Ricky Rodriguez,,Tampa Bay,MLB,MLB,11/02/2027,27,DOM,6' 4',200 lbs,Switch,Right,4.0 Stars,4.0 Stars,50,66,40,82,72,41,56,44,36,56,79,34,71,54,41,93,70,43,32,15,Groundball,Pull,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,1,7,5,8,36,34,64,29,15,29,22,27,6,4,7,584,504,.310,.399,.569,116.3,.405,.968,.366,2.94,113,5.9,51.1,0.0,-5.8,-5.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,37,Chris Swedlow,,Tampa Bay,MLB,MLB,07/14/2029,26,USA,6' 2',205 lbs,Right,Right,4.0 Stars,4.5 Stars,69,55,60,54,40,84,61,84,70,73,37,99,52,63,58,50,41,79,41,1,Line Drive,Normal,Normal,1,2,1,10,1,1,2,1,10,1,1,2,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,17,61,62,60,23,11,51,5,40,35,49,51,34,41,16,547,510,.280,.318,.427,69.7,.318,.746,.313,1.76,67,3.8,9.6,-2.2,-0.4,-2.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,46,Manuel Velez,,San Antonio,MLB,MLB,11/06/2021,33,DOM,5' 10',200 lbs,Left,Left,4.0 Stars,4.0 Stars,75,65,51,55,78,77,52,50,45,42,58,49,72,86,55,61,86,91,54,1,Line Drive,Spray,Spray,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,SIDE,Normal,1,1,1,3,1,7,7,25,4,49,67,48,38,41,49,64,587,513,.263,.351,.407,77.6,.330,.758,.294,2.75,78,1.7,13.8,0.2,0.9,1.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,32,Rafael Villa,,Tampa Bay,MLB,MLB,08/08/2029,26,DOM,6' 2',200 lbs,Right,Right,4.0 Stars,4.0 Stars,66,57,56,63,63,74,66,92,63,93,76,100,55,60,53,57,60,63,32,4,Normal,Spray,Spray,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,1,1,4,1,44,67,45,56,23,21,54,27,18,28,26,605,530,.294,.367,.464,88.2,.356,.831,.322,-1.20,93,3.7,29.1,-1.9,0.4,-1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,49,Gilberto Bonilla,,Detroit,MLB,MLB,03/07/2023,32,DOM,6' 2',200 lbs,Left,Left,4.0 Stars,4.0 Stars,46,50,63,88,58,43,42,36,49,48,40,30,54,49,72,100,70,46,39,5,Line Drive,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,1,11,11,6,53,38,52,5,43,57,71,21,11,2,14,613,543,.284,.357,.593,118.1,.399,.950,.304,7.06,115,6.4,47.4,0.0,-0.4,-0.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,22,Nick Delaney,,Houston,MLB,MLB,02/03/2026,29,USA,6' 2',200 lbs,Right,Right,4.0 Stars,4.0 Stars,56,58,59,66,46,55,66,66,67,95,49,61,56,54,57,59,45,52,55,10,Line Drive,Normal,Normal,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,3/4,Normal,1,1,1,2,5,69,75,31,77,40,36,27,61,24,8,84,587,523,.243,.310,.398,64.0,.304,.708,.273,-1.19,65,3.5,-0.1,0.0,2.6,2.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,37,Ken Hitt,,Washington,MLB,MLB,03/29/2031,24,USA,6' 3',205 lbs,Left,Right,4.0 Stars,5.0 Stars,42,63,80,94,72,19,53,37,62,76,79,14,69,44,86,100,69,21,41,50,Line Drive,Pull,Normal,1,5,1,10,3,1,5,1,10,3,1,5,1,10,3,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,89-91,3/4,Normal,1,8,5,3,4,19,16,39,7,74,57,57,73,53,72,63,611,527,.230,.329,.493,95.8,.347,.822,.322,3.37,89,5.2,20.6,5.4,0.9,6.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,19,Ji-hu Kim,,St. Louis,MLB,MLB,11/13/2031,23,KOR,6' 0',190 lbs,Switch,Right,4.0 Stars,4.0 Stars,46,61,74,90,57,34,70,50,80,100,74,38,59,44,73,86,54,31,47,8,Line Drive,Pull,Pull,1,1,1,8,1,1,1,1,8,1,1,1,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,OTT,Normal,1,1,1,4,4,28,23,41,17,72,51,67,88,77,75,99,670,602,.229,.300,.482,94.0,.328,.782,.285,2.60,87,4.0,12.5,3.0,3.0,6.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,4,Jeff Larson,,Kansas City,MLB,MLB,06/02/2026,29,USA,6' 4',200 lbs,Right,Right,4.0 Stars,4.5 Stars,58,57,68,60,58,57,66,77,75,69,62,81,55,53,66,57,57,52,33,9,Line Drive,Pull,Spray,1,9,1,14,6,1,8,1,14,6,1,9,1,14,6,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,SIDE,Normal,1,4,2,1,1,71,53,65,52,31,26,37,73,43,67,68,620,536,.250,.339,.444,86.5,.335,.783,.281,0.84,84,4.5,12.8,2.3,1.7,4.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,5,Juan Valentin,,Pittsburgh,MLB,MLB,06/20/2022,33,USA,6' 1',205 lbs,Right,Right,4.0 Stars,4.0 Stars,39,43,49,93,88,36,45,43,52,100,100,41,42,38,48,88,79,34,15,9,Line Drive,Normal,Normal,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,84-86,3/4,Normal,1,1,58,54,48,7,6,29,6,36,28,38,2,1,9,8,516,442,.204,.318,.437,62.7,.325,.754,.232,0.37,66,3.2,8.3,0.0,-1.3,-1.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
