POS,#,Name,Inf,TM,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,VT,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,SR,STE,RUN,PA,AB,AVG,OBP,SLG,RC,wOBA,OPS,BABIP,WPA,wRC,WAR,BatR,wSB,UBR,BsR,SV,BS,IP,ER,ERA,FIP,WPA,WAR,rWAR,SIERA
LF,56,Omar Marin,,New York,MLB,MLB,01/06/2024,30,USA,6' 4',200 lbs,Left,Left,4.5 Stars,4.5 Stars,76,72,65,61,50,70,57,53,54,46,44,49,79,86,70,70,52,81,30,12,Line Drive,Spray,Normal,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,87-89,87-89,3/4,Normal,1,6,1,1,1,34,30,29,3,64,57,63,76,53,59,79,618,536,.328,.411,.584,132.8,.416,.995,.330,2.26,127,7.1,52.6,-0.6,3.0,2.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,40,Arturo Bautista,,San Diego,MLB,MLB,11/26/2022,31,VEN,6' 2',195 lbs,Left,Left,4.5 Stars,4.5 Stars,75,65,52,74,53,78,46,43,41,41,35,42,76,93,58,93,63,99,43,7,Line Drive,Ex. Pull,Spray,1,2,1,12,1,1,3,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,SIDE,Normal,1,2,7,6,11,25,13,46,7,53,31,53,27,6,3,3,623,548,.332,.400,.569,128.9,.403,.969,.345,5.23,122,5.1,50.1,-1.6,-2.2,-3.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,4,Joe Hann,,San Diego,MLB,MLB,01/17/2029,25,USA,6' 1',195 lbs,Left,Right,4.5 Stars,4.5 Stars,63,58,100,49,38,69,49,48,94,39,29,48,61,73,100,53,41,80,67,6,Line Drive,Normal,Normal,1,1,1,11,1,1,1,1,11,1,1,1,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,1,3,5,1,25,20,20,12,88,67,46,100,100,96,100,627,573,.307,.362,.531,123.4,.375,.893,.339,5.25,108,9.4,35.7,17.3,4.4,21.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,41,Charlie Dicob,,Texas,MLB,MLB,09/27/2026,27,USA,6' 2',205 lbs,Right,Right,4.5 Stars,4.5 Stars,80,67,84,63,60,84,72,87,90,74,69,90,65,77,82,61,58,82,53,2,Line Drive,Normal,Normal,1,10,1,7,10,1,10,1,7,10,1,10,1,7,10,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,86-88,86-88,SIDE,GB'er,1,5,2,3,1,51,41,71,29,36,29,50,42,23,15,47,655,574,.286,.360,.503,103.3,.363,.864,.294,2.52,106,4.7,27.9,-1.2,0.5,-0.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,15,Emilio Garza,,Minnesota,MLB,MLB,12/11/2028,25,DOM,6' 1',200 lbs,Right,Right,4.5 Stars,5.0 Stars,61,61,72,73,61,58,72,81,84,100,85,80,59,56,67,64,56,53,44,5,Line Drive,Pull,Pull,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,88-90,90-92,3/4,Normal,1,1,1,4,4,63,66,68,65,29,30,44,71,55,33,53,611,542,.277,.354,.522,99.9,.365,.876,.297,1.66,100,5.1,28.5,-2.3,-1.1,-3.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,18,Marcos Soto,,San Antonio,MLB,MLB,05/31/2024,30,VEN,5' 10',195 lbs,Switch,Right,4.5 Stars,4.5 Stars,80,79,62,50,87,70,87,93,69,57,100,87,76,75,61,49,81,65,66,3,Line Drive,Spray,Normal,1,2,1,4,2,1,2,1,4,2,1,2,1,4,2,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,85-87,SIDE,Normal,1,1,4,2,5,25,27,18,14,82,50,54,80,57,68,96,613,515,.258,.365,.375,77.4,.319,.740,.300,0.29,77,4.6,7.1,1.5,3.9,5.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,30,Alex Pelagio,,Toronto,MLB,MLB,06/24/2027,27,VEN,6' 4',205 lbs,Right,Right,4.5 Stars,4.5 Stars,83,72,69,55,70,83,83,100,80,68,81,100,68,75,65,51,66,74,52,11,Line Drive,Normal,Normal,1,11,1,11,10,1,11,1,11,10,1,11,1,11,10,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,89-91,91-93,3/4,Normal,1,3,5,6,3,21,18,15,9,67,37,56,59,66,74,73,646,560,.284,.372,.495,105.6,.367,.866,.282,2.89,107,4.9,31.0,4.2,-0.8,3.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
SS,1,Danny Perez,,Miami,MLB,MLB,08/22/2029,25,USA,6' 2',200 lbs,Right,Right,4.5 Stars,5.0 Stars,68,70,55,56,67,61,87,97,65,84,84,96,65,60,52,50,62,54,63,1,Normal,Spray,Normal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,88-90,88-90,SIDE,GB'er,1,1,2,4,1,67,50,62,48,43,33,51,55,15,8,44,629,557,.327,.402,.546,122.5,.402,.948,.367,2.88,122,7.2,46.6,0.0,0.2,0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,21,Wenceslas Aguas,,Chicago,MLB,MLB,08/09/2029,25,VEN,6' 2',200 lbs,Right,Right,4.0 Stars,4.0 Stars,64,59,65,74,49,69,67,87,78,100,55,97,57,59,62,65,48,61,67,48,Flyball,Spray,Spray,1,1,1,17,1,1,1,1,17,1,1,1,1,17,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,85-87,3/4,Normal,1,6,1,2,1,50,49,55,69,48,39,20,74,56,65,46,635,570,.282,.353,.509,103.1,.367,.862,.298,1.81,105,3.9,29.8,0.4,1.0,1.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,15,Alex Macias,,San Francisco,MLB,MLB,06/04/2030,24,DOM,6' 0',190 lbs,Switch,Right,4.0 Stars,4.0 Stars,67,71,65,62,62,59,81,85,74,82,82,76,67,62,62,58,58,56,99,61,Line Drive,Pull,Pull,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,87-89,87-89,3/4,Normal,1,9,11,11,11,24,20,22,14,68,35,37,77,57,54,71,661,583,.288,.365,.523,115.6,.375,.888,.314,3.54,113,6.2,38.8,3.8,1.5,5.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,36,Javier Reyes,,Houston,MLB,MLB,12/23/2022,31,DOM,6' 1',195 lbs,Right,Right,4.0 Stars,4.0 Stars,62,61,69,64,83,62,70,83,80,88,96,85,59,59,65,59,80,57,16,5,Line Drive,Normal,Normal,1,1,1,10,1,1,1,1,10,1,1,1,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,3/4,Normal,1,1,1,1,4,51,56,41,40,43,27,32,42,31,53,74,667,567,.307,.396,.501,118.8,.382,.897,.339,4.37,118,5.5,39.8,-0.6,1.7,1.1,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,David Villanueva,,Houston,MLB,MLB,11/29/2026,27,DOM,6' 2',200 lbs,Right,Right,4.0 Stars,4.5 Stars,70,70,100,52,55,64,81,90,100,63,68,87,66,65,100,49,51,59,26,7,Line Drive,Spray,Normal,1,3,1,10,1,1,3,1,10,1,1,3,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,83-85,3/4,Normal,1,1,4,4,4,24,15,24,10,69,61,40,100,75,75,96,681,605,.289,.366,.476,111.3,.361,.842,.329,3.38,109,5.5,28.9,4.4,3.0,7.4,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,10,Tony Forke,,Pittsburgh,MLB,MLB,10/14/2021,32,USA,6' 2',200 lbs,Right,Right,4.0 Stars,4.0 Stars,55,48,55,77,84,65,51,69,61,100,100,92,46,51,53,67,80,59,45,32,Normal,Pull,Spray,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,89-91,89-91,SIDE,Normal,1,3,1,1,2,51,70,29,52,22,26,36,48,50,60,70,665,569,.274,.376,.455,96.3,.357,.831,.307,0.88,105,3.9,26.4,-2.0,2.3,0.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,17,Ryan Goodman,,Miami,MLB,MLB,11/29/2023,30,USA,6' 2',205 lbs,Right,Left,4.0 Stars,4.0 Stars,69,57,50,75,67,81,71,93,59,100,100,100,53,62,48,60,56,74,25,6,Line Drive,Spray,Spray,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,86-88,86-88,SIDE,Normal,1,1,3,2,1,38,34,28,4,53,41,59,48,26,42,11,705,628,.301,.372,.508,118.3,.375,.880,.315,3.62,121,3.9,36.5,-2.3,-5.5,-7.8,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,4,Jeff Larson,,Kansas City,MLB,MLB,06/02/2026,28,USA,6' 4',200 lbs,Right,Right,4.0 Stars,5.0 Stars,57,59,68,74,63,55,69,76,75,88,69,75,57,53,66,70,62,50,34,9,Line Drive,Pull,Spray,1,9,1,14,6,1,9,1,14,6,1,9,1,14,6,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,SIDE,Normal,1,4,2,1,1,63,45,57,45,32,28,40,75,43,67,63,661,567,.245,.336,.437,87.6,.330,.773,.282,0.66,89,2.6,8.8,-1.1,0.5,-0.6,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,29,Carlos Reyes,,Seattle,MLB,MLB,11/09/2028,25,USA,6' 1',205 lbs,Left,Left,4.0 Stars,4.5 Stars,49,53,58,93,55,46,45,40,47,53,46,36,57,53,62,100,58,50,30,5,Line Drive,Normal,Normal,1,1,1,6,1,1,1,1,6,1,1,1,1,6,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,3/4,Normal,1,9,2,6,11,20,15,31,4,65,57,61,46,50,56,74,587,525,.265,.337,.518,96.5,.358,.855,.284,2.47,93,4.5,26.7,1.0,1.5,2.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,46,Manuel Velez,,San Antonio,MLB,MLB,11/06/2021,32,DOM,5' 10',200 lbs,Left,Left,4.0 Stars,4.0 Stars,74,64,53,55,77,76,51,50,46,41,58,49,71,86,57,61,85,90,55,1,Line Drive,Spray,Spray,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,SIDE,Normal,1,1,1,3,1,7,7,25,4,49,67,48,38,41,48,63,601,520,.312,.401,.533,114.3,.399,.934,.325,3.87,115,4.7,46.4,-2.8,1.4,-1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,10,Fernando Galiano,,San Francisco,MLB,MLB,10/03/2025,28,VEN,6' 2',200 lbs,Left,Left,4.0 Stars,4.5 Stars,66,68,61,67,63,60,56,50,51,49,53,46,73,74,65,76,67,67,33,1,Line Drive,Spray,Spray,1,2,1,7,1,1,3,1,7,1,1,2,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,88-90,88-90,3/4,Normal,1,1,11,9,9,56,50,36,4,46,54,55,38,24,14,7,614,547,.269,.340,.457,86.2,.340,.797,.313,1.29,88,3.0,18.7,-2.1,-0.6,-2.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
RF,13,Tony Hernandez,,Miami,MLB,MLB,10/23/2026,27,DOM,5' 11',200 lbs,Right,Right,4.0 Stars,4.0 Stars,51,74,62,91,81,38,92,65,77,100,100,46,68,48,59,84,76,35,7,12,Line Drive,Normal,Normal,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,OTT,Normal,1,1,4,4,4,34,22,26,16,58,40,49,51,48,60,66,647,535,.250,.369,.540,112.5,.383,.910,.275,2.75,115,5.9,37.9,-1.6,0.1,-1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,25,Eric Palka,,Milwaukee,MLB,MLB,10/02/2019,34,USA,6' 1',200 lbs,Right,Right,4.0 Stars,4.0 Stars,64,55,69,58,88,76,60,84,81,76,100,100,52,59,66,54,80,68,66,4,Line Drive,Normal,Normal,1,1,1,7,1,1,1,1,7,1,1,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,80-83,3/4,Normal,1,5,1,4,4,6,6,24,6,63,60,65,74,43,61,67,630,554,.245,.332,.442,86.2,.330,.774,.250,1.20,85,2.7,10.8,2.2,-2.0,0.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,32,Rafael Villa,,Tampa Bay,MLB,MLB,08/08/2029,25,DOM,6' 2',200 lbs,Right,Right,4.0 Stars,4.0 Stars,71,60,63,64,63,77,72,97,77,94,77,100,58,62,60,58,60,66,31,4,Normal,Spray,Spray,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,86-88,86-88,3/4,Normal,1,1,1,4,1,43,65,44,55,24,22,55,27,19,27,25,620,549,.264,.344,.501,95.1,.357,.844,.279,3.06,97,4.0,28.7,-0.8,-2.2,-3.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,10,Rich Gonzalez,,Colorado,MLB,MLB,11/11/2031,22,DOM,6' 0',185 lbs,Right,Right,4.0 Stars,4.0 Stars,88,92,47,45,76,71,100,100,53,61,94,91,88,83,45,42,70,65,8,6,Line Drive,Pull,Normal,1,1,1,15,1,1,1,1,15,1,1,1,1,15,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,87-89,87-89,3/4,Normal,1,6,1,4,3,63,57,48,43,43,34,46,43,36,33,71,655,571,.308,.394,.475,108.4,.373,.868,.365,1.78,112,3.8,24.0,-2.3,0.1,-2.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
1B,50,Ricky Rodriguez,,Tampa Bay,MLB,MLB,11/02/2027,26,DOM,6' 4',200 lbs,Switch,Right,4.0 Stars,4.0 Stars,51,64,40,83,76,42,55,44,37,57,82,35,69,55,42,94,73,44,33,14,Groundball,Pull,Normal,1,1,1,12,1,1,1,1,12,1,1,1,1,12,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,85-87,3/4,Normal,1,1,7,5,8,36,34,64,29,16,31,24,27,4,4,6,583,509,.285,.370,.564,108.4,.393,.934,.331,3.72,109,5.5,44.1,0.0,-1.0,-1.0,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,5,Juan Valentin,,Pittsburgh,MLB,MLB,06/20/2022,32,USA,6' 1',205 lbs,Right,Right,4.0 Stars,4.0 Stars,40,43,49,92,88,38,46,44,52,100,100,43,43,39,48,87,80,36,15,8,Normal,Normal,Normal,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,84-86,3/4,Normal,1,1,58,54,48,7,6,29,6,26,16,33,3,1,8,7,515,424,.205,.338,.384,56.0,.318,.722,.247,-0.27,64,2.2,3.7,0.0,-6.7,-6.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
2B,22,Nick Delaney,,Houston,MLB,MLB,02/03/2026,28,USA,6' 2',200 lbs,Right,Right,4.0 Stars,4.0 Stars,55,57,60,63,46,53,64,63,70,91,49,60,55,53,58,58,45,51,56,9,Line Drive,Normal,Normal,1,1,1,14,1,1,1,1,14,1,1,1,1,14,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,87-89,87-89,3/4,Normal,1,1,1,2,5,69,75,31,76,42,37,28,55,24,6,79,613,552,.208,.281,.402,62.5,.291,.683,.222,-2.05,63,2.5,-9.0,0.0,2.7,2.7,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,33,Manny Guerrero,,San Diego,MLB,MLB,06/03/2022,32,PUR,6' 6',200 lbs,Right,Right,4.0 Stars,4.0 Stars,77,66,58,50,56,81,76,97,64,62,62,100,62,70,56,48,54,72,59,7,Line Drive,Spray,Normal,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,3/4,Normal,1,5,3,4,1,22,15,35,10,51,45,62,70,61,73,88,702,622,.285,.359,.449,107.0,.349,.808,.308,1.32,105,4.5,24.9,9.4,2.8,12.2,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
LF,30,Dave Pons,,Miami,MLB,MLB,09/03/2030,24,VEN,6' 2',200 lbs,Left,Left,4.0 Stars,4.0 Stars,53,56,78,70,46,50,49,45,69,50,43,42,59,57,81,80,46,55,36,7,Normal,Normal,Spray,1,1,1,16,1,1,1,1,16,1,1,1,1,16,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,3/4,Normal,1,7,11,11,6,51,39,14,4,79,51,38,73,61,73,75,628,563,.247,.317,.440,83.2,.322,.757,.271,0.47,81,4.9,5.4,3.1,2.4,5.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
CF,38,Ernesto Gamez,,Chicago,MLB,MLB,10/19/2030,23,VEN,6' 1',195 lbs,Right,Right,4.0 Stars,4.0 Stars,71,80,100,58,50,57,93,90,100,75,61,74,76,65,98,54,48,53,75,62,Line Drive,Pull,Pull,1,1,1,13,1,1,1,1,13,1,1,1,1,13,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,88-90,88-90,3/4,Normal,1,3,3,4,2,26,32,45,26,65,68,61,70,47,70,40,658,602,.274,.333,.472,95.6,.343,.805,.319,3.55,96,3.2,17.9,3.0,-1.5,1.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
C,1,Jinjun Hoff,,Kansas City,MLB,MLB,05/31/2024,30,USA,6' 2',200 lbs,Right,Right,4.0 Stars,4.0 Stars,44,41,51,63,49,48,44,51,58,95,55,61,40,42,49,57,47,45,33,1,Flyball,Pull,Spray,1,1,1,9,1,1,1,1,9,1,1,1,1,9,1,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,90-92,90-92,3/4,Normal,1,15,64,76,63,11,7,41,18,38,27,47,23,40,45,44,520,453,.265,.344,.468,73.5,.347,.812,.300,2.91,77,4.3,14.0,-0.5,0.8,0.3,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
3B,4,Eddie Inglis,,Chicago,MLB,MLB,07/22/2026,28,USA,6' 1',200 lbs,Right,Right,4.0 Stars,4.0 Stars,61,52,54,59,81,75,57,80,59,76,93,100,51,58,52,55,77,67,50,9,Normal,Pull,Normal,1,1,1,17,1,1,1,1,17,1,1,1,1,17,1,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,83-85,SIDE,Normal,1,4,34,48,40,48,54,78,31,37,31,54,38,24,25,41,633,536,.257,.365,.476,100.0,.361,.841,.270,1.88,101,4.6,26.5,-0.7,-2.8,-3.5,0,0,0.0,0,0.00,0.00,0.0,0.0,0.0,0.00
